Event Time;State
20186.03;Busy 1 Job(s)
20186.03;Busy 2 Job(s)
20242.6;Busy 1 Job(s)
20242.6;Idle
20393.76;Busy 1 Job(s)
20397.129999999997;Busy 2 Job(s)
20417.289999999997;Busy 1 Job(s)
20450.329999999998;Idle
20461.889999999996;Busy 1 Job(s)
20493.219999999998;Idle
20616.249999999996;Busy 1 Job(s)
20644.549999999996;Busy 2 Job(s)
20667.909999999996;Busy 1 Job(s)
20669.619999999995;Idle
20747.709999999995;Busy 1 Job(s)
20792.429999999997;Idle
20824.849999999995;Busy 1 Job(s)
20877.539999999997;Idle
20969.069999999996;Busy 1 Job(s)
21010.879999999994;Busy 2 Job(s)
21025.639999999996;Busy 1 Job(s)
21050.709999999995;Idle
21173.739999999994;Busy 1 Job(s)
21225.039999999994;Busy 2 Job(s)
21230.309999999994;Busy 1 Job(s)
21250.469999999994;Idle
21376.199999999993;Busy 1 Job(s)
21396.629999999994;Idle
21456.659999999993;Busy 1 Job(s)
21487.499999999993;Busy 2 Job(s)
21501.379999999994;Busy 1 Job(s)
21512.569999999992;Idle
21652.539999999994;Busy 1 Job(s)
21698.59999999999;Busy 2 Job(s)
21704.199999999993;Busy 1 Job(s)
21729.269999999993;Idle
21817.709999999992;Busy 1 Job(s)
21853.12999999999;Busy 2 Job(s)
21865.23999999999;Busy 1 Job(s)
21890.30999999999;Idle
21938.60999999999;Busy 1 Job(s)
21983.32999999999;Idle
22039.85999999999;Busy 1 Job(s)
22040.26999999999;Busy 2 Job(s)
22062.37999999999;Busy 1 Job(s)
22078.40999999999;Idle
22151.15999999999;Busy 1 Job(s)
22186.12999999999;Idle
22277.65999999999;Busy 1 Job(s)
22333.81999999999;Busy 2 Job(s)
22334.22999999999;Busy 1 Job(s)
22354.38999999999;Idle
22488.349999999988;Busy 1 Job(s)
22509.619999999988;Busy 2 Job(s)
22534.689999999988;Busy 1 Job(s)
22541.95999999999;Idle
22653.259999999987;Busy 1 Job(s)
22673.90999999999;Idle
22699.06999999999;Busy 1 Job(s)
22750.72999999999;Idle
22835.919999999987;Busy 1 Job(s)
22865.38999999999;Idle
22922.04999999999;Busy 1 Job(s)
22973.70999999999;Idle
23018.579999999987;Busy 1 Job(s)
23056.869999999988;Idle
23148.399999999987;Busy 1 Job(s)
23156.469999999987;Busy 2 Job(s)
23181.539999999986;Busy 1 Job(s)
23185.139999999985;Idle
23213.669999999984;Busy 1 Job(s)
23270.239999999983;Idle
23350.039999999983;Busy 1 Job(s)
23358.739999999987;Busy 2 Job(s)
23371.95999999999;Busy 1 Job(s)
23401.699999999983;Idle
23481.49999999998;Busy 1 Job(s)
23483.259999999987;Busy 2 Job(s)
23496.47999999999;Busy 1 Job(s)
23526.219999999983;Idle
23606.019999999982;Busy 1 Job(s)
23650.739999999983;Idle
23682.509999999987;Busy 1 Job(s)
23738.809999999983;Idle
23755.609999999982;Busy 1 Job(s)
23793.809999999987;Busy 2 Job(s)
23800.329999999984;Busy 1 Job(s)
23813.549999999985;Idle
23948.339999999986;Busy 1 Job(s)
23996.119999999984;Idle
24024.649999999983;Busy 1 Job(s)
24059.639999999985;Busy 2 Job(s)
24081.219999999983;Busy 1 Job(s)
24094.439999999984;Idle
24217.469999999983;Busy 1 Job(s)
24274.039999999983;Idle
24277.169999999984;Busy 1 Job(s)
24330.609999999982;Idle
24453.63999999998;Busy 1 Job(s)
24459.829999999984;Busy 2 Job(s)
24484.899999999983;Busy 1 Job(s)
24505.29999999998;Idle
24656.45999999998;Busy 1 Job(s)
24667.559999999983;Busy 2 Job(s)
24687.719999999983;Busy 1 Job(s)
24708.11999999998;Idle
24842.949999999983;Busy 1 Job(s)
24859.27999999998;Busy 2 Job(s)
24881.38999999998;Busy 1 Job(s)
24901.54999999998;Idle
24985.74999999998;Busy 1 Job(s)
25009.269999999982;Idle
25069.29999999998;Busy 1 Job(s)
25125.86999999998;Idle
25168.40999999998;Busy 1 Job(s)
25209.02999999998;Idle
