opcode;opcode;Instruction duration [ns];used;Frequency (runtime instruction count);;;
ICONST_M1;2;3;1;;;;
ICONST_0;3;3;1;;;;
ICONST_1;4;2.93;1;;;;
SIPUSH;17;3;1;;;;
ILOAD;21;4.05;1;26,304;;;
ALOAD;25;6.98;1;12,859;;64,019;, also
AALOAD;50;9.22;1;6,031;;Summe von X3,X4,X5,X6,X11,X23,X24,X25,X35;
BALOAD;51;6.43;1;253;;;
ASTORE;58;3.07;1;6,084;;78.51;
IINC;132;4;1;6719;;;
IF_ICMPNE;160;5;1;6055;;;
IF_ICMPLT;161;5;1;6557;;;
NEWARRAY;188;300;1;299;;;
ARRAYLENGTH;190;18.03;1;6,183;;Anteil [%] von;81,545
