fileIndex;nrOfMeasurements;minMeasurement;loMeasurement;medMeasurement;avgMeasurement;hiMeasurement;maxMeasurement;user.name;
0;1;101008927;101008927;101008927;101008927;101008927;101008927;Michael;
4;1;5425270;5425270;5425270;5425270;5425270;5425270;Michael;
6;1;154445886;154445886;154445886;154445886;154445886;154445886;Michael;
10;1;2952331;2952331;2952331;2952331;2952331;2952331;Michael;
12;1;3715277;3715277;3715277;3715277;3715277;3715277;Michael;
14;1;1448508;1448508;1448508;1448508;1448508;1448508;Michael;
18;1;2176254;2176254;2176254;2176254;2176254;2176254;Michael;
19;1;2144127;2144127;2144127;2144127;2144127;2144127;Michael;
21;1;1618921;1618921;1618921;1618921;1618921;1618921;Michael;
22;1;2315937;2315937;2315937;2315937;2315937;2315937;Michael;
23;1;1790452;1790452;1790452;1790452;1790452;1790452;Michael;
28;1;2662628;2662628;2662628;2662628;2662628;2662628;Michael;
29;1;3259073;3259073;3259073;3259073;3259073;3259073;Michael;
31;1;54755;54755;54755;54755;54755;54755;Michael;
35;1;2499480;2499480;2499480;2499480;2499480;2499480;Michael;
36;1;73578625;73578625;73578625;73578625;73578625;73578625;Michael;
37;1;81199705;81199705;81199705;81199705;81199705;81199705;Michael;
38;1;56517239;56517239;56517239;56517239;56517239;56517239;Michael;
0;1;96349396;96349396;96349396;96349396;96349396;96349396;Michael;
4;1;4987226;4987226;4987226;4987226;4987226;4987226;Michael;
6;1;150549861;150549861;150549861;150549861;150549861;150549861;Michael;
10;1;2735543;2735543;2735543;2735543;2735543;2735543;Michael;
12;1;3770312;3770312;3770312;3770312;3770312;3770312;Michael;
14;1;1459124;1459124;1459124;1459124;1459124;1459124;Michael;
18;1;2134349;2134349;2134349;2134349;2134349;2134349;Michael;
19;1;2143010;2143010;2143010;2143010;2143010;2143010;Michael;
21;1;1805817;1805817;1805817;1805817;1805817;1805817;Michael;
22;1;2246095;2246095;2246095;2246095;2246095;2246095;Michael;
23;1;1991873;1991873;1991873;1991873;1991873;1991873;Michael;
28;1;2621003;2621003;2621003;2621003;2621003;2621003;Michael;
29;1;2694198;2694198;2694198;2694198;2694198;2694198;Michael;
31;1;59505;59505;59505;59505;59505;59505;Michael;
35;1;2413715;2413715;2413715;2413715;2413715;2413715;Michael;
36;1;74546346;74546346;74546346;74546346;74546346;74546346;Michael;
37;1;78927071;78927071;78927071;78927071;78927071;78927071;Michael;
38;1;57466242;57466242;57466242;57466242;57466242;57466242;Michael;
0;1;94869041;94869041;94869041;94869041;94869041;94869041;Michael;
4;1;6055798;6055798;6055798;6055798;6055798;6055798;Michael;
6;1;150996006;150996006;150996006;150996006;150996006;150996006;Michael;
10;1;3293156;3293156;3293156;3293156;3293156;3293156;Michael;
12;1;3565816;3565816;3565816;3565816;3565816;3565816;Michael;
14;1;1460242;1460242;1460242;1460242;1460242;1460242;Michael;
18;1;2681347;2681347;2681347;2681347;2681347;2681347;Michael;
19;1;2167873;2167873;2167873;2167873;2167873;2167873;Michael;
21;1;1880686;1880686;1880686;1880686;1880686;1880686;Michael;
22;1;2256153;2256153;2256153;2256153;2256153;2256153;Michael;
23;1;1762235;1762235;1762235;1762235;1762235;1762235;Michael;
28;1;2645029;2645029;2645029;2645029;2645029;2645029;Michael;
29;1;2653969;2653969;2653969;2653969;2653969;2653969;Michael;
31;1;75987;75987;75987;75987;75987;75987;Michael;
35;1;2409804;2409804;2409804;2409804;2409804;2409804;Michael;
36;1;72675158;72675158;72675158;72675158;72675158;72675158;Michael;
37;1;80544315;80544315;80544315;80544315;80544315;80544315;Michael;
38;1;56538471;56538471;56538471;56538471;56538471;56538471;Michael;
0;1;180447235;180447235;180447235;180447235;180447235;180447235;Michael;
4;1;5840407;5840407;5840407;5840407;5840407;5840407;Michael;
6;1;152885353;152885353;152885353;152885353;152885353;152885353;Michael;
10;1;2725766;2725766;2725766;2725766;2725766;2725766;Michael;
12;1;3400711;3400711;3400711;3400711;3400711;3400711;Michael;
14;1;1411631;1411631;1411631;1411631;1411631;1411631;Michael;
18;1;2224584;2224584;2224584;2224584;2224584;2224584;Michael;
19;1;2111721;2111721;2111721;2111721;2111721;2111721;Michael;
21;1;1574502;1574502;1574502;1574502;1574502;1574502;Michael;
22;1;2247213;2247213;2247213;2247213;2247213;2247213;Michael;
23;1;1748266;1748266;1748266;1748266;1748266;1748266;Michael;
28;1;3054578;3054578;3054578;3054578;3054578;3054578;Michael;
29;1;2870756;2870756;2870756;2870756;2870756;2870756;Michael;
31;1;56711;56711;56711;56711;56711;56711;Michael;
35;1;2400864;2400864;2400864;2400864;2400864;2400864;Michael;
36;1;75296162;75296162;75296162;75296162;75296162;75296162;Michael;
37;1;80686512;80686512;80686512;80686512;80686512;80686512;Michael;
38;1;56332858;56332858;56332858;56332858;56332858;56332858;Michael;
