File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;74533216;74533216;74533216;74533216;8843050109;74533216;;;;;;
j0.jpg;1;second;7822;7822;7822;7822;8843050109;7822;;;;;;
j1.jpg;1;first;59132376;59385830;59350560;59741392;8843050109;59350560;8843050109;59741392;8843050109;59318992;8843050109;59132376
j1.jpg;1;second;2793;2933;3073;3073;8843050109;3073;8843050109;3073;8843050109;2793;8843050109;2794
j2.jpg;1;first;90387465;90597827;90808189;90808189;8843050109;90387465;8843050109;90808189;;;;
j2.jpg;1;second;3632;3632;3632;3632;8843050109;3632;8843050109;3632;;;;
j3.jpg;1;first;73892073;74038879;74185685;74185685;8843050109;73892073;8843050109;74185685;;;;
j3.jpg;1;second;3073;3632;4191;4191;8843050109;3073;8843050109;4191;;;;
j4.jpg;1;first;40217961;40228157;40238354;40238354;8843050109;40238354;8843050109;40217961;;;;
j4.jpg;1;second;3073;3073;3073;3073;8843050109;3073;8843050109;3073;;;;
j5.jpg;1;first;50724603;50724603;50724603;50724603;8843050109;50724603;;;;;;
j5.jpg;1;second;3353;3353;3353;3353;8843050109;3353;;;;;;
j6.jpg;1;first;19350504;19350504;19350504;19350504;8843050109;19350504;;;;;;
j6.jpg;1;second;3353;3353;3353;3353;8843050109;3353;;;;;;
j7.jpg;1;first;48410622;48410622;48410622;48410622;8843050109;48410622;;;;;;
j7.jpg;1;second;3631;3631;3631;3631;8843050109;3631;;;;;;
j8.jpg;1;first;58280871;58486204;58691538;58691538;8843050109;58280871;8843050109;58691538;;;;
j8.jpg;1;second;2793;3910;5028;5028;8843050109;2793;8843050109;5028;;;;
j9.jpg;1;first;58956655;59074826;59192998;59192998;8843050109;58956655;8843050109;59192998;;;;
j9.jpg;1;second;3073;3492;3911;3911;8843050109;3073;8843050109;3911;;;;
p0.pdf;0;first;1366589608;1366589608;1366589608;1366589608;8843050109;1366589608;;;;;;
p0.pdf;0;second;5588;5588;5588;5588;8843050109;5588;;;;;;
p1.pdf;0;first;1497763263;1501511924;1505260585;1505260585;8843050109;1505260585;8843050109;1497763263;;;;
p1.pdf;0;second;3911;4330;4749;4749;8843050109;4749;8843050109;3911;;;;
p2.pdf;0;first;2319342822;2586827562;2319359863;3121780003;8843050109;2319359863;8843050109;2319342822;8843050109;3121780003;;
p2.pdf;0;second;3631;4097;4190;4470;8843050109;3631;8843050109;4190;8843050109;4470;;
p3.pdf;;;;;;;;;;;;;;
p4.pdf;;;;;;;;;;;;;;
p5.pdf;0;first;2115033894;2117130063;2115762758;2120593539;8843050109;2115762758;8843050109;2120593539;8843050109;2115033894;;
p5.pdf;0;second;3632;3911;3911;4190;8843050109;4190;8843050109;3632;8843050109;3911;;
p6.pdf;0;first;2140895841;2140895841;2140895841;2140895841;8843050109;2140895841;;;;;;
p6.pdf;0;second;3352;3352;3352;3352;8843050109;3352;;;;;;
p7.pdf;0;first;1855879169;1857369861;1858860554;1858860554;8843050109;1855879169;8843050109;1858860554;;;;
p7.pdf;0;second;3631;3910;4190;4190;8843050109;4190;8843050109;3631;;;;
p8.pdf;;;;;;;;;;;;;;
p9.pdf;0;first;2364617850;2364617850;2364617850;2364617850;8843050109;2364617850;;;;;;
p9.pdf;0;second;4470;4470;4470;4470;8843050109;4470;;;;;;
