File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;73956048;80584683;74,058,575;100328114;8951347234;100328114;8951347234;73956048;8951347234;74058575;8951347234;73995996
j0.jpg;1;second;2794;4051;3,073;7543;8951347234;7543;8951347234;3073;8951347234;2794;8951347234;2794
j1.jpg;1;first;59149976;59336312;59,377,658;59538014;8951347234;59538014;8951347234;59377658;8951347234;59149976;8951347234;59279601
j1.jpg;1;second;2794;3352;3,073;4470;8951347234;2794;8951347234;4470;8951347234;3073;8951347234;3073
j2.jpg;1;first;89868405;90593846;91,148,177;91464418;8951347234;91464418;8951347234;91148177;8951347234;89894386;8951347234;89868405
j2.jpg;1;second;3073;3352;3,631;3631;8951347234;3631;8951347234;3631;8951347234;3073;8951347234;3073
j3.jpg;1;first;74017228;74184568;74,294,358;74295756;8951347234;74130930;8951347234;74017228;8951347234;74294358;8951347234;74295756
j3.jpg;1;second;3353;4120;3,911;5308;8951347234;5308;8951347234;3353;8951347234;3911;8951347234;3911
j4.jpg;1;first;40228577;40515345;40,336,411;41232615;8951347234;41232615;8951347234;40336411;8951347234;40228577;8951347234;40263777
j4.jpg;1;second;2793;3142;3,073;3631;8951347234;3631;8951347234;3073;8951347234;2793;8951347234;3073
j5.jpg;1;first;50487422;50815047;51,024,082;51142813;8951347234;51024082;8951347234;50487422;8951347234;51142813;8951347234;50605873
j5.jpg;1;second;3073;3492;3,911;3911;8951347234;3911;8951347234;3073;8951347234;3911;8951347234;3073
j6.jpg;1;first;19230936;19344288;19,276,193;19634339;8951347234;19634339;8951347234;19276193;8951347234;19235685;8951347234;19230936
j6.jpg;1;second;2794;3003;3,073;3352;8951347234;3352;8951347234;3073;8951347234;2794;8951347234;2794
j7.jpg;1;first;46677162;47113529;47,197,339;47741542;8951347234;46838076;8951347234;47197339;8951347234;46677162;8951347234;47741542
j7.jpg;1;second;2793;3282;3,352;3912;8951347234;2793;8951347234;3073;8951347234;3352;8951347234;3912
j8.jpg;1;first;58060452;58226673;58,214,102;58438712;8951347234;58214102;8951347234;58193429;8951347234;58060452;8951347234;58438712
j8.jpg;1;second;2793;2933;3,073;3074;8951347234;2794;8951347234;3073;8951347234;2793;8951347234;3074
j9.jpg;1;first;58977608;59128814;59,091,589;59436884;8951347234;58977608;8951347234;59009176;8951347234;59436884;8951347234;59091589
j9.jpg;1;second;3073;3492;3,073;4749;8951347234;3073;8951347234;3073;8951347234;4749;8951347234;3073
p0.pdf;0;first;1358095232;1363755658;1,364,078,954;1372992378;8951347234;1372992378;8951347234;1358095232;8951347234;1359856071;8951347234;1364078954
p0.pdf;0;second;3911;3911;3,911;3911;8951347234;3911;8951347234;3911;8951347234;3911;8951347234;3911
p1.pdf;0;first;1506484763;1527827908;1,523,623,254;1567917431;8951347234;1567917431;8951347234;1513286186;8951347234;1506484763;8951347234;1523623254
p1.pdf;0;second;4190;4609;5,028;5029;8951347234;4191;8951347234;5029;8951347234;5028;8951347234;4190
p2.pdf;0;first;2327834403;2331620499;2,333,687,941;2335625896;8951347234;2335625896;8951347234;2327834403;8951347234;2329333756;8951347234;2333687941
p2.pdf;0;second;3632;3981;4,190;4191;8951347234;4191;8951347234;3632;8951347234;4190;8951347234;3911
p3.pdf;0;first;1595896127;1600098476;1,602,027,632;1604055264;8951347234;1602027632;8951347234;1604055264;8951347234;1598414883;8951347234;1595896127
p3.pdf;0;second;3352;3631;3,632;3911;8951347234;3911;8951347234;3632;8951347234;3352;8951347234;3631
p4.pdf;0;first;1837025376;1863129881;1,865,672,034;1909096547;8951347234;1865672034;8951347234;1840725567;8951347234;1837025376;8951347234;1909096547
p4.pdf;0;second;3631;3841;3,911;4190;8951347234;3631;8951347234;4190;8951347234;3632;8951347234;3911
p5.pdf;0;first;2091992697;2116892649;2,127,740,816;2147770736;8951347234;2147770736;8951347234;2127740816;8951347234;2100066349;8951347234;2091992697
p5.pdf;0;second;3911;3980;3,911;4190;8951347234;3911;8951347234;4190;8951347234;3911;8951347234;3911
p6.pdf;0;first;2132711001;2146688266;2,146,904,425;2163020440;8951347234;2163020440;8951347234;2146904425;8951347234;2132711001;8951347234;2144117199
p6.pdf;0;second;3911;3980;3,911;4190;8951347234;3911;8951347234;4190;8951347234;3911;8951347234;3911
p7.pdf;0;first;1853051714;1859223658;1,863,181,214;1866273786;8951347234;1863181214;8951347234;1866273786;8951347234;1854387918;8951347234;1853051714
p7.pdf;0;second;3632;3911;4,191;4191;8951347234;3632;8951347234;4191;8951347234;3632;8951347234;4191
p8.pdf;0;first;2279087426;2285967420;2,281,918,791;2303641384;8951347234;2303641384;8951347234;2279222080;8951347234;2281918791;8951347234;2279087426
p8.pdf;0;second;3353;3562;3,632;3632;8951347234;3353;8951347234;3632;8951347234;3632;8951347234;3631
p9.pdf;0;first;2358284921;2380658505;2,390,049,294;2404992813;8951347234;2404992813;8951347234;2390049294;8951347234;2358284921;8951347234;2369306993
p9.pdf;0;second;3911;3911;3,911;3911;8951347234;3911;8951347234;3911;8951347234;3911;8951347234;3911
