inputFilesLength1;inputFileType1;compressionInLength;compressionOutLength;hashOutLength;storeLarge;storeLargeLength;storeShort;storeShortLength
792492;0;0;0;792492;0;0;0;0
11994017;0;0;0;11994017;1;11994017;0;0
33273;1;33273;10221;10221;0;0;1;10221
11944339;0;0;0;11944339;1;11944339;0;0
1933032;1;1933032;609039;609039;1;609039;0;0
40931;0;0;0;40931;0;0;1;40931
934007;1;934007;268785;268785;1;268785;0;0
852945;0;0;0;852945;1;852945;0;0
33;1;33;38;38;0;0;1;38
9665311;1;9665311;3184307;3184307;1;3184307;0;0
25119;0;0;0;25119;0;0;1;25119
