fileIndex;nrOfMeasurements;minMeasurement;loMeasurement;medMeasurement;avgMeasurement;hiMeasurement;maxMeasurement;user.name;
0;1000;58357976;59127906;59937785;60765639;62803792;133617820;admin;
0;1000;58317189;59294687;60032211;60761640;63638535;78978194;admin;
0;1000;58295119;59211995;59958738;60593502;62646510;77196962;admin;
0;1000;58425302;59211157;59951754;60687750;63366154;83109446;admin;
0;1000;58356579;59225963;60050370;60974343;64059817;87846361;admin;
0;1000;58452960;59222890;60079982;60841409;63635741;80575604;admin;
0;1000;58400439;59227918;60041709;60723420;62574712;98495199;admin;
0;1000;58437036;59343018;60098700;61063639;64179945;104311023;admin;
0;1000;58030559;59365367;60205976;61737613;65778752;99973879;admin;
0;1000;58591804;59280439;60177480;60768950;63026725;83096036;admin;
0;1000;58181975;59297760;60021874;60688891;62683107;161956897;admin;
1;1000;26496105;26823242;27241451;27509593;28306949;42781694;admin;
2;1000;193421510;194823365;196305955;198295328;205718604;253161506;admin;
3;1000;155276998;157322788;158878572;160128322;164894980;228258061;admin;
4;1000;3655493;3697118;3762210;3873107;4132368;12267481;admin;
5;1000;70488289;71102892;71687044;72394316;74027285;100502159;admin;
6;1000;144654139;146265238;147571829;148710295;153500236;175152149;admin;
7;1000;22144435;22427431;22798149;23145092;23982377;38880919;admin;
8;1000;64917189;65602193;69027209;69245181;72951730;147426000;admin;
9;1000;181716391;183139198;186126170;196184602;205611608;518420917;admin;
10;1000;2513447;2551162;2559264;2686599;2865728;21157158;admin;
11;1000;2018693;2043835;2050819;2123530;2153346;16370796;admin;
12;1000;3104305;3136153;3149003;3271426;3380598;19662554;admin;
13;1000;2495569;2527975;2537194;2641221;2672686;18638962;admin;
14;1000;1321956;1342350;1348216;1380354;1381740;3901613;admin;
15;1000;1673118;1706921;1712229;1763581;1772571;10714490;admin;
16;1000;693663;705956;710704;747426;724115;3337855;admin;
17;1000;1571150;1601320;1607188;1663417;1650769;11919671;admin;
18;1000;1976788;2008635;2015340;2084761;2080432;5138922;admin;
19;1000;1962261;1992432;2001651;2075649;2079035;15292726;admin;
20;1000;1461080;1483429;1515835;1573217;1566400;13549488;admin;
21;1000;1480914;1519188;1544610;1601874;1615289;13933055;admin;
22;1000;2103060;2130159;2137423;2230361;2351137;18319647;admin;
23;1000;1638197;1663060;1685968;1741774;1775644;5807163;admin;
24;1000;1936280;1963657;1984610;2051856;2072330;18224384;admin;
25;1000;2212293;2251962;2272915;2355380;2465397;11914363;admin;
26;1000;2218997;2238552;2256991;2339862;2418464;18300371;admin;
27;1000;1845765;1864203;1882921;1952561;2051098;4875201;admin;
28;1000;2422095;2444445;2454782;2508540;2593905;4634947;admin;
29;1000;2486070;2511213;2532724;2628301;2688889;15882186;admin;
30;1000;59784;63416;64813;67914;70120;1283962;admin;
31;1000;62298;65651;67048;70279;71796;711543;admin;
32;1000;439162;452851;480228;489426;505092;2380470;admin;
33;1000;1385372;1410235;1433702;1492054;1493766;11279366;admin;
34;1000;1190375;1212165;1261892;1289998;1318045;3209346;admin;
35;1000;2224864;2256991;2285486;2383984;2451428;19046275;admin;
36;1000;69462180;69821444;70596961;71454784;73139184;104188382;admin;
37;1000;75465737;75840086;76364175;77090770;78824822;94066983;admin;
38;1000;53723308;55116782;55838382;56371194;57980833;77106169;admin;
39;1000;101387467;102740712;103765423;104696704;107507798;124465539;admin;
0;50;1036611916;1041348552;1047047041;1056894141;1090741980;1121346149;admin;
1;50;472827413;475864949;477735299;481099363;493801866;516032345;admin;
2;50;3494360876;3510597856;3529952550;3531164402;3547427676;3564642434;admin;
3;50;2762004388;2773596923;2798677206;2799627131;2821129781;2883572913;admin;
4;50;73402067;73546777;74252733;74924908;77497280;84061802;admin;
5;50;1291283110;1295671098;1307338223;1308161696;1322769235;1331820665;admin;
6;50;2604612877;2616071036;2634004042;2633239369;2652535727;2664343932;admin;
7;50;405342858;407096991;409980319;413293818;427029134;447215498;admin;
8;50;1266111755;1267824821;1276574257;1280425808;1296419517;1314498071;admin;
9;50;3356280756;3361177747;3390625345;3385759391;3405670832;3409421029;admin;
10;50;56937125;57257277;57765163;58252358;59510636;68981673;admin;
11;50;46453949;46631346;47115206;47688273;49861085;54011892;admin;
12;50;69292047;69439552;69849101;70367664;71495400;86371033;admin;
13;50;56194292;56293188;56861416;57624189;59591652;66610421;admin;
14;50;30985782;31119039;31476906;31529297;31914391;33372397;admin;
15;50;38579485;38707433;39278456;40217670;42019307;54969277;admin;
16;50;16626415;16652116;16840129;16998478;17424003;18982021;admin;
17;50;36854964;36977046;37305300;37642946;38324983;48011968;admin;
18;50;45698825;45835993;46334659;47270443;50014736;62031069;admin;
19;50;45242622;45330622;45687370;45859655;46798686;48001352;admin;
20;50;33558176;33629972;34108805;34964494;37590811;49443993;admin;
21;50;33367648;33528563;33908220;34124996;34685135;43764221;admin;
22;50;48215346;48294406;48745022;49650712;50418419;64681126;admin;
23;50;37210875;37377935;37805643;38136271;39449707;44004755;admin;
24;50;43672310;43831269;44233275;45022437;46047752;59689429;admin;
25;50;50110838;50281530;50836349;51636847;54899435;60899919;admin;
26;50;49713581;49972553;50460882;50911129;52019740;61521507;admin;
27;50;41639929;41777935;42320742;42784281;45114393;49558254;admin;
28;50;54682928;54812273;55278534;55943115;56680389;71187818;admin;
29;50;55393632;55612096;56067461;56916736;60075233;65986599;admin;
30;50;2501994;2505347;2510374;2607627;2944509;3257956;admin;
31;50;2535238;2544178;2553676;2584619;2640838;3210185;admin;
32;50;10122515;10139836;10223646;10437823;11044421;12564726;admin;
33;50;31455115;31528588;31990379;32419963;34419458;35134912;admin;
34;50;25385070;25494022;25746569;25924060;26712055;27992943;admin;
35;50;50738013;50957873;51380832;51997022;53212909;67060757;admin;
36;50;1367198345;1371818206;1380222627;1384735350;1405141994;1421388193;admin;
37;50;1484985103;1486329687;1499481638;1499263135;1520148790;1529527635;admin;
38;50;909924027;919126872;927305007;931863530;950718317;969412593;admin;
39;50;1756498661;1767289418;1787279669;1787472061;1808918452;1815746415;admin;
