fileIndex;nrOfMeasurements;minMeasurement;loMeasurement;medMeasurement;avgMeasurement;hiMeasurement;maxMeasurement;user.name;
0;100;57068147;57560668;58555487;60966687;62913303;193487720;admin;
1;100;25909717;26463140;27507686;30241349;33317363;160513137;admin;
2;100;190168303;192392608;195215314;210606121;278600772;304506019;admin;
3;100;151822089;152817747;155333429;163692175;203760534;259343855;admin;
4;100;3607162;3642083;3666387;3728211;3932903;4636623;admin;
5;100;69324174;69798257;70782739;71433606;73325241;86611008;admin;
6;100;142113592;143805148;146756920;161126137;223224740;237912919;admin;
7;100;21483736;21720917;22400053;25372328;28213362;89850526;admin;
8;100;65723437;66069849;67111043;70098004;75043616;132859623;admin;
9;100;173628771;174388645;176997076;187228027;222877768;270211438;admin;
10;100;2479087;2507581;2534959;3215095;2956801;17530441;admin;
11;100;1998857;2018413;2035175;2250724;2473778;13121779;admin;
12;100;3058210;3087823;3106261;3201521;3491226;4415925;admin;
13;100;2457575;2489981;2508978;3391070;3354058;24813768;admin;
14;100;1295137;1316369;1342349;2228892;1612495;35488310;admin;
15;100;1661384;1689321;1701054;1855409;1878731;13681348;admin;
16;100;684723;708749;714895;735668;729701;1888229;admin;
17;100;1559696;1590147;1600763;1688292;1838502;5813030;admin;
18;100;1954439;1983213;1999975;2046424;2213131;2836394;admin;
19;100;1948851;1966451;1985169;2355525;2171226;34692118;admin;
20;100;1445435;1467784;1479797;1543475;1538184;5879518;admin;
21;100;1484267;1503822;1517232;1551188;1544330;2524902;admin;
22;100;2091327;2113397;2125130;2546773;2501715;14975367;admin;
23;100;1620318;1649930;1669206;2306329;1734019;38806329;admin;
24;100;1914489;1951366;1963657;3090124;2061156;69602980;admin;
25;100;2190781;2212292;2243022;2855846;2861537;25706060;admin;
26;100;2177093;2220952;2232966;2397287;2369575;14071621;admin;
27;100;1813638;1844368;1869512;2697211;2210337;23676752;admin;
28;100;2403936;2424889;2450591;3010634;3037817;24976918;admin;
29;100;2451708;2478527;2507861;3496760;3114362;35932221;admin;
30;100;58107;68724;84927;94243;99454;745626;admin;
31;100;70959;84927;88558;98389;98616;911289;admin;
32;100;426590;446984;459555;930758;474082;23921197;admin;
33;100;1364698;1389283;1412470;2183213;1921194;24793934;admin;
34;100;1160482;1191492;1209651;1944992;1545448;23792130;admin;
35;100;2203353;2235200;2260901;2827300;3785397;21537933;admin;
36;100;66587234;66942307;67608593;68315984;69801330;84252328;admin;
37;100;72119222;72513127;73475818;76604772;77902079;151736604;admin;
38;100;51951295;52565340;54003232;66431870;119037196;141573301;admin;
39;100;98466425;99671606;102152927;119006505;169316212;207549283;admin;
0;10;60582001;60587030;62243386;70403444;125902314;125902314;admin;
1;10;28201071;28535750;28667890;34838953;89125853;89125853;admin;
2;10;201214680;202699784;209205919;216904522;272380149;272380149;admin;
3;10;161930915;162115017;166123068;174816631;234041757;234041757;admin;
4;10;3720306;3735112;3754388;3900160;4421512;4421512;admin;
5;10;72760085;72975756;74064441;74032537;75492835;75492835;admin;
6;10;152542013;152964972;161727538;168832379;204939734;204939734;admin;
7;10;22725794;23102098;24218161;25354758;31499813;31499813;admin;
8;10;70660377;70669876;72422333;72679963;78896061;78896061;admin;
9;10;186523427;186589636;188215821;193701238;235384944;235384944;admin;
10;10;2562616;2574349;2583289;2681094;3314946;3314946;admin;
11;10;2050539;2061435;2067302;2302080;4425423;4425423;admin;
12;10;3161854;3162133;3176102;3212726;3571124;3571124;admin;
13;10;2518477;2524343;2563455;2560213;2598095;2598095;admin;
14;10;1349054;1354921;1360229;1365732;1401575;1401575;admin;
15;10;1717816;1717817;1734019;1796429;2394159;2394159;admin;
16;10;715734;716571;727187;747832;888381;888381;admin;
17;10;1601321;1618921;1626464;1668759;2067023;2067023;admin;
18;10;2027073;2029029;2036851;2047494;2095517;2095517;admin;
19;10;1985169;2005283;2022324;2248051;3873398;3873398;admin;
20;10;1497118;1498794;1503543;1558075;1946057;1946057;admin;
21;10;1524216;1527847;1535670;1553437;1716978;1716978;admin;
22;10;2141334;2145244;2163124;2213354;2682743;2682743;admin;
23;10;1670044;1685410;1691835;1728683;2087975;2087975;admin;
24;10;1989638;1991594;1999137;2008327;2095797;2095797;admin;
25;10;2252801;2263695;2289956;2508335;3584534;3584534;admin;
26;10;2252521;2256153;2287720;2390918;2883606;2883606;admin;
27;10;1870350;1884318;1898566;1899822;1930413;1930413;admin;
28;10;2455899;2458693;2482718;3102908;7653487;7653487;admin;
29;10;2526858;2541943;2550883;2582954;2880254;2880254;admin;
30;10;67606;76546;82972;82943;91631;91631;admin;
31;10;60063;64813;84648;91687;184102;184102;admin;
32;10;457041;464305;467099;501711;699810;699810;admin;
33;10;1419733;1423645;1434819;1436802;1492927;1492927;admin;
34;10;1214400;1215797;1220546;1243761;1454096;1454096;admin;
35;10;2283810;2292191;2300292;2339152;2627708;2627708;admin;
36;10;71869749;72071171;78667261;77489206;83704493;83704493;admin;
37;10;76892733;76947210;77410118;77757508;79284378;79284378;admin;
38;10;55469340;55517392;56841582;56595908;57297227;57297227;admin;
39;10;104007632;104310185;106008725;106580780;110313182;110313182;admin;
