"uri","filetype","filesize","roundtriptime","dateTime"
"/                             ","     ","12085          ","0,359     ","05.08.2004 09:12:44 "
"/                             ","     ","12085          ","0,31      ","05.08.2004 09:46:38 "
"/                             ","     ","12085          ","0,31      ","05.08.2004 09:46:31 "
"/                             ","     ","12085          ","0,31      ","05.08.2004 09:46:52 "
"/img/titel.gif                ",".gif ","1273           ","0,15      ","05.08.2004 09:47:12 "
"/img/logo.gif                 ",".gif ","1454           ","0,63      ","05.08.2004 09:47:14 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,32      ","05.08.2004 09:47:16 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","05.08.2004 09:47:18 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","05.08.2004 09:47:19 "
"/                             ","     ","12085          ","0,16      ","05.08.2004 09:47:21 "
"/img/titel.gif                ",".gif ","1273           ","0,31      ","05.08.2004 09:47:23 "
"/img/logo.gif                 ",".gif ","1454           ","0,31      ","05.08.2004 09:47:25 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,31      ","05.08.2004 09:47:26 "
"/img/leer.gif                 ",".gif ","807            ","5,750     ","05.08.2004 09:47:28 "
"/img/bilder.jpg               ",".jpg ","2815           ","25,719    ","05.08.2004 09:47:30 "
"/                             ","     ","12085          ","0,359     ","05.08.2004 14:09:56 "
"/                             ","     ","12085          ","0,359     ","05.08.2004 14:10:07 "
"/                             ","     ","12085          ","0,359     ","05.08.2004 14:09:58 "
"/img/logo.gif                 ",".gif ","1454           ","0,297     ","05.08.2004 14:10:11 "
"/img/titel.gif                ",".gif ","1273           ","0,297     ","05.08.2004 14:10:11 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,46      ","05.08.2004 14:10:12 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,32      ","05.08.2004 14:10:12 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","05.08.2004 14:10:12 "
"/bibtex.htm                   ",".htm ","14788          ","0,78      ","05.08.2004 14:10:12 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,15      ","05.08.2004 14:10:12 "
"/suche.swf                    ",".swf ","1758           ","0,125     ","05.08.2004 14:10:13 "
"/format.swf                   ",".swf ","2027           ","0,78      ","05.08.2004 14:10:13 "
"/eintrag.swf                  ",".swf ","1883           ","11,172    ","05.08.2004 14:10:13 "
"/suche.htm                    ",".htm ","13248          ","0,140     ","05.08.2004 14:10:13 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:11:11 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:11:11 "
"/img/logo.gif                 ",".gif ","1454           ","0,469     ","06.08.2004 14:11:11 "
"/img/titel.gif                ",".gif ","1273           ","0,485     ","06.08.2004 14:11:11 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,62      ","06.08.2004 14:11:11 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","06.08.2004 14:11:11 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,31      ","06.08.2004 14:11:11 "
"/img/leer.gif                 ",".gif ","807            ","0,32      ","06.08.2004 14:11:12 "
"/userStatictics.htm           ",".htm ","14455          ","0,62      ","06.08.2004 14:11:12 "
"/userStatictics.htm           ",".htm ","14455          ","0,47      ","06.08.2004 14:11:12 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:11:25 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:11:27 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:11:27 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:11:27 "
"/img/logo.gif                 ",".gif ","1454           ","0,469     ","06.08.2004 14:11:27 "
"/img/titel.gif                ",".gif ","1273           ","0,485     ","06.08.2004 14:11:27 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,62      ","06.08.2004 14:11:27 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","06.08.2004 14:11:27 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,31      ","06.08.2004 14:11:27 "
"/img/leer.gif                 ",".gif ","807            ","0,32      ","06.08.2004 14:11:27 "
"/userStatictics.htm           ",".htm ","14455          ","0,62      ","06.08.2004 14:11:27 "
"/userStatictics.htm           ",".htm ","14455          ","0,47      ","06.08.2004 14:11:27 "
"/img/logo.gif                 ",".gif ","1454           ","0,62      ","06.08.2004 14:11:27 "
"/img/titel.gif                ",".gif ","1273           ","0,31      ","06.08.2004 14:11:27 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,47      ","06.08.2004 14:11:27 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,47      ","06.08.2004 14:11:27 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","06.08.2004 14:11:27 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,32      ","06.08.2004 14:11:27 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,15      ","06.08.2004 14:11:27 "
"/img/leer.gif                 ",".gif ","807            ","1,844     ","06.08.2004 14:11:27 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:11:47 "
"/img/logo.gif                 ",".gif ","1454           ","0,469     ","06.08.2004 14:11:47 "
"/img/titel.gif                ",".gif ","1273           ","0,485     ","06.08.2004 14:11:47 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,62      ","06.08.2004 14:11:47 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","06.08.2004 14:11:47 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,31      ","06.08.2004 14:11:47 "
"/img/leer.gif                 ",".gif ","807            ","0,32      ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,62      ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,47      ","06.08.2004 14:11:47 "
"/img/logo.gif                 ",".gif ","1454           ","0,62      ","06.08.2004 14:11:47 "
"/img/titel.gif                ",".gif ","1273           ","0,31      ","06.08.2004 14:11:47 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,47      ","06.08.2004 14:11:47 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,47      ","06.08.2004 14:11:47 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","06.08.2004 14:11:47 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,32      ","06.08.2004 14:11:47 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,15      ","06.08.2004 14:11:47 "
"/img/leer.gif                 ",".gif ","807            ","1,844     ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,15      ","06.08.2004 14:11:47 "
"/img/logo.gif                 ",".gif ","1454           ","0,63      ","06.08.2004 14:11:47 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,31      ","06.08.2004 14:11:47 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,32      ","06.08.2004 14:11:47 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,0       ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,16      ","06.08.2004 14:11:47 "
"/img/logo.gif                 ",".gif ","1454           ","0,0       ","06.08.2004 14:11:47 "
"/img/leer.gif                 ",".gif ","807            ","0,15      ","06.08.2004 14:11:47 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,469     ","06.08.2004 14:12:56 "
"/img/titel.gif                ",".gif ","1273           ","0,485     ","06.08.2004 14:12:56 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,62      ","06.08.2004 14:12:56 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","06.08.2004 14:12:56 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,31      ","06.08.2004 14:12:56 "
"/img/leer.gif                 ",".gif ","807            ","0,32      ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,62      ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,47      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,62      ","06.08.2004 14:12:56 "
"/img/titel.gif                ",".gif ","1273           ","0,31      ","06.08.2004 14:12:56 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,47      ","06.08.2004 14:12:56 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,47      ","06.08.2004 14:12:56 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","06.08.2004 14:12:56 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,32      ","06.08.2004 14:12:56 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,15      ","06.08.2004 14:12:56 "
"/img/leer.gif                 ",".gif ","807            ","1,844     ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,15      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,63      ","06.08.2004 14:12:56 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,31      ","06.08.2004 14:12:56 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,32      ","06.08.2004 14:12:56 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,0       ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,16      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,0       ","06.08.2004 14:12:56 "
"/img/leer.gif                 ",".gif ","807            ","0,15      ","06.08.2004 14:12:56 "
"/img/logo.htm                 ",".htm ","81             ","0,47      ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,141     ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,15      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,47      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,32      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,78      ","06.08.2004 14:12:56 "
"/img/logo.gif                 ",".gif ","1454           ","0,31      ","06.08.2004 14:12:56 "
"/userStatictics.htm           ",".htm ","14455          ","0,344     ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,31      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,469     ","06.08.2004 14:13:01 "
"/img/titel.gif                ",".gif ","1273           ","0,485     ","06.08.2004 14:13:01 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,62      ","06.08.2004 14:13:01 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,31      ","06.08.2004 14:13:01 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,31      ","06.08.2004 14:13:01 "
"/img/leer.gif                 ",".gif ","807            ","0,32      ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,62      ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,47      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,62      ","06.08.2004 14:13:01 "
"/img/titel.gif                ",".gif ","1273           ","0,31      ","06.08.2004 14:13:01 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,47      ","06.08.2004 14:13:01 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,47      ","06.08.2004 14:13:01 "
"/img/leer.gif                 ",".gif ","807            ","0,31      ","06.08.2004 14:13:01 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,32      ","06.08.2004 14:13:01 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,15      ","06.08.2004 14:13:01 "
"/img/leer.gif                 ",".gif ","807            ","1,844     ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,15      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,63      ","06.08.2004 14:13:01 "
"/img/a14-ecke.gif             ",".gif ","3883           ","0,31      ","06.08.2004 14:13:01 "
"/img/bilder.jpg               ",".jpg ","2815           ","0,32      ","06.08.2004 14:13:01 "
"/img/kopfbogen2a.gif          ",".gif ","421            ","0,0       ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,16      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,0       ","06.08.2004 14:13:01 "
"/img/leer.gif                 ",".gif ","807            ","0,15      ","06.08.2004 14:13:01 "
"/img/logo.htm                 ",".htm ","81             ","0,47      ","06.08.2004 14:13:01 "
"/userStatictics.htm           ",".htm ","14455          ","0,141     ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,15      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,47      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,32      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,78      ","06.08.2004 14:13:01 "
"/img/logo.gif                 ",".gif ","1454           ","0,31      ","06.08.2004 14:13:02 "
"/img/logo.gif                 ",".gif ","1454           ","0,47      ","06.08.2004 14:13:02 "
